"Answer","Question","Answer Letters","Question Letters","Category","Publisher","Series","Universe","Difficulty"
Ronan,"______ the Accuser, is the Supreme Accuser of the Kree Empire and works with Thanos",,,,,,,
Sabretooth,,,,,,,,
Sandman,,,,,,,,
Scorpion,,,,,,,,
Shocker,,,,,,,,
Sinister,"Mr. ______, ",,,,,,,
Sentinels,"mutant-hunting robots, usually advesaries of the X-Men.",,,,,,,
Skurge,,,,,,,,
Tinkerer,,,,,,,,
Thanos,,,,,,,,
Thans,,,,,,,,
Collector,created a massive museum of life forms and artifacts from across the MCU,,,,,,,
Ultron,"a self-aware, highly intelligent robot who develops a god complex and a grudge against his creator Hank Pym",,,,,,,
Venom,,,,,,,,
Vulcan,,,,,,,,
Vulture,Adrian Toomes is the flying supervillian called the _______,,,,,,,
Struker,Baron von _______ is an eneny of SHIELD and the Avengers,,,,,,,
Sinister,"the _______ Six, a group of villians organized by Doctor Octopus",,,,,,,
Sinister Six,"a group originallly composed of Doc Oc, Vulture, Electro, Mysterio, Sandman & Kraven",,,,,,,
Enforcers,"Team of villians originally consisting of Montana, the Ox, and Fancy Dan",,,,,,,
Cerebro,Device created by Professor X to detect humans and mutants,,,,,,,
Skrulls,a race of extraterrestial shapeshifters who appear in many Marvel comic series,,,,,,,
Destroyer,an animated suit of Asguardian armor that plagues Thor,,,,,,,
Hydra,Baron von Strucker's terrorist organization prominent in the MCU,,,,,,,
Thanos,"a powerful villian in the MCU, he has a twisted moral compass and thinks his actions are justified.",,,,,,,
